model,prompt,text,sentiment,score,score_accuracy_points,score_accuracy_pct
qwen2.5:7b-instruct-q4_K_M,original,"Der Termin war super organisiert, das Auto ist top gepflegt!",positive,10,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,"Das Wartezeit war ewig lang, ich warte nie wieder so lange.",negative,1,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,Können Sie mir den Ölwechsel-Termin für nächsten Dienstag bestätigen?,neutral,5,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,"Toller Service! Mein BMW läuft wieder wie neu, danke!",positive,10,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,"Die Rechnung ist viel zu hoch, das ist Wucher!",negative,1,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,Ich habe eine Frage zur Garantie meines Audi.,neutral,5,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,Freundliches Team und schnelle Abwicklung – empfehle ich weiter!,positive,10,0.9,90.0
qwen2.5:7b-instruct-q4_K_M,original,"Der Mechaniker hat mein Auto nicht richtig repariert, es quietscht immer noch.",negative,1,0.8,80.0
qwen2.5:7b-instruct-q4_K_M,original,Bitte senden Sie mir die Rechnungsübersicht per E-Mail.,neutral,5,1.0,100.0
qwen2.5:7b-instruct-q4_K_M,original,"Absolut fantastisch! Neues Auto abgeholt, alles perfekt vorbereitet.",positive,10,1.0,100.0
ministral-3:8b-instruct-2512-q4_K_M,original,"Der Termin war super organisiert, das Auto ist top gepflegt!",positive,10,1.0,100.0
ministral-3:8b-instruct-2512-q4_K_M,original,"Das Wartezeit war ewig lang, ich warte nie wieder so lange.",negative,2,0.9,90.0
ministral-3:8b-instruct-2512-q4_K_M,original,Können Sie mir den Ölwechsel-Termin für nächsten Dienstag bestätigen?,neutral,5,1.0,100.0
ministral-3:8b-instruct-2512-q4_K_M,original,"Toller Service! Mein BMW läuft wieder wie neu, danke!",positive,10,1.0,100.0
ministral-3:8b-instruct-2512-q4_K_M,original,"Die Rechnung ist viel zu hoch, das ist Wucher!",negative,2,0.9,90.0
ministral-3:8b-instruct-2512-q4_K_M,original,Ich habe eine Frage zur Garantie meines Audi.,neutral,5,1.0,100.0
ministral-3:8b-instruct-2512-q4_K_M,original,Freundliches Team und schnelle Abwicklung – empfehle ich weiter!,positive,10,0.9,90.0
ministral-3:8b-instruct-2512-q4_K_M,original,"Der Mechaniker hat mein Auto nicht richtig repariert, es quietscht immer noch.",negative,2,0.9,90.0
ministral-3:8b-instruct-2512-q4_K_M,original,Bitte senden Sie mir die Rechnungsübersicht per E-Mail.,neutral,5,1.0,100.0
ministral-3:8b-instruct-2512-q4_K_M,original,"Absolut fantastisch! Neues Auto abgeholt, alles perfekt vorbereitet.",positive,10,1.0,100.0
llama3.1:8b-instruct-q4_K_S,original,"Der Termin war super organisiert, das Auto ist top gepflegt!",positive,10,1.0,100.0
llama3.1:8b-instruct-q4_K_S,original,"Das Wartezeit war ewig lang, ich warte nie wieder so lange.",negative,1,1.0,100.0
